R4S09F3    0.103    0.002   -0.275    0.103    0.294
R4S10F1    0.228   -0.133   -4.060    0.264    4.069
R4S10F2    0.213   -0.114   -4.035    0.241    4.042
R4S10F3    0.191   -0.051   -0.277    0.198    0.340
R4S11F1    0.281   -0.176   -4.037    0.332    4.051
R4S11F2    0.239   -0.152   -4.129    0.283    4.139
R4S11F3    0.171   -0.157   -0.302    0.232    0.381
R4S12F1    0.258   -0.201   -4.197    0.327    4.210
R4S12F2    0.270   -0.162   -4.117    0.314    4.129
R4S12F3    0.183   -0.144   -0.381    0.233    0.446
R4S13F1    0.378   -0.248   -4.101    0.452    4.126
R4S13F2    0.378   -0.192   -4.167    0.424    4.189
R4S13F3    0.165   -0.129   -0.353    0.209    0.410
R4S14F1    0.348   -0.298   -4.197    0.458    4.222
R4S14F2    0.352   -0.261   -4.192    0.438    4.215
R4S14F3    0.186   -0.104   -0.338    0.213    0.400
R4S15F1    0.303   -0.342   -4.097    0.457    4.122
R4S15F2    0.327   -0.278   -4.039    0.429    4.062
R4S15F3    0.160   -0.003   -0.366    0.160    0.399
R4S16F1    0.180   -0.336   -4.218    0.381    4.235
R4S16F2    0.289   -0.321   -4.059    0.432    4.082
R4S16F3    0.126    0.019   -0.376    0.128    0.397
R4S17F1    0.147   -0.429   -3.971    0.453    3.997
R4S17F2    0.231   -0.476   -4.231    0.529    4.264
R4S17F3    0.100   -0.061   -0.298    0.117    0.320
R4S18F1    0.072   -0.456   -4.034    0.462    4.060
R4S18F2    0.121   -0.408   -4.023    0.425    4.045
R4S18F3   -0.056   -0.013   -0.301    0.058    0.306
R4S19F1    0.045   -0.456   -4.067    0.458    4.093
R4S19F2    0.081   -0.476   -4.036    0.483    4.065
R4S19F3   -0.211    0.015   -0.224    0.212    0.308
R4S20F1   -0.015   -0.446   -3.998    0.447    4.023
R4S20F2    0.002   -0.470   -4.019    0.470    4.046
R4S20F3   -0.247    0.053   -0.166    0.253    0.302
R4S21F1   -0.059   -0.441   -3.987    0.445    4.012
R4S21F2   -0.065   -0.495   -3.960    0.499    3.991
R4S21F3   -0.236    0.059   -0.206    0.243    0.319
R4S22F1   -0.094   -0.418   -3.963    0.429    3.986
R4S22F2   -0.078   -0.457   -3.958    0.463    3.985
R4S22F3   -0.213    0.073   -0.184    0.225    0.291
R4S23F1   -0.146   -0.415   -3.966    0.440    3.990
R4S23F2   -0.134   -0.439   -3.874    0.459    3.901
R4S23F3   -0.243    0.049   -0.149    0.247    0.289
R4S24F1   -0.183   -0.380   -3.966    0.422    3.988
R4S24F2   -0.155   -0.399   -3.877    0.428    3.901
R4S24F3   -0.205    0.105   -0.170    0.230    0.286
