R451	0.048	-0.162	-0.202
R452	-0.016	-0.194	-0.153
R453	-0.123	-0.018	-0.212
R461	0.103	-0.095	-0.219
R462	0.044	-0.113	-0.190
R463	-0.187	0.094	-0.230
R471	0.170	-0.084	-0.217
R472	0.134	-0.114	-0.177
R473	-0.101	0.107	-0.227
R481	0.190	-0.105	-0.275
R482	0.183	-0.101	-0.234
R483	-0.026	0.048	-0.265
R491	0.214	-0.050	-0.216
R492	0.190	-0.036	-0.313
R493	0.103	0.003	-0.275
R4101	0.228	-0.133	-0.310
R4102	0.213	-0.114	-0.285
R4103	0.191	-0.051	-0.277
R4111	0.281	-0.176	-0.287
R4112	0.239	-0.152	-0.379
R4113	0.171	-0.158	-0.302
R4121	0.258	-0.201	-0.447
R4122	0.270	-0.162	-0.367
R4123	0.183	-0.144	-0.381
R4131	0.378	-0.248	-0.351
R4132	0.378	-0.192	-0.417
R4133	0.165	-0.129	-0.353
R4141	0.348	-0.298	-0.447
R4142	0.352	-0.261	-0.442
R4143	0.186	-0.104	-0.338
R4151	0.303	-0.342	-0.347
R4152	0.327	-0.278	-0.289
R4153	0.160	-0.003	-0.366
R4161	0.180	-0.336	-0.468
R4162	0.289	-0.321	-0.309
R4163	0.126	0.019	-0.376
R4171	0.147	-0.429	-0.221
R4172	0.231	-0.476	-0.481
R4173	0.100	-0.061	-0.298
R4181	0.072	-0.456	-0.284
R4182	0.121	-0.408	-0.273
R4183	-0.056	-0.013	-0.301
R4191	0.045	-0.456	-0.317
R4192	0.081	-0.476	-0.286
R4193	-0.211	0.015	-0.224
R4201	-0.015	-0.446	-0.248
R4202	0.002	-0.470	-0.269
R4203	-0.247	0.053	-0.166
R4211	-0.059	-0.441	-0.237
R4212	-0.065	-0.495	-0.210
R4213	-0.236	0.058	-0.206
R4221	-0.094	-0.418	-0.213
R4222	-0.078	-0.457	-0.208
R4223	-0.213	0.073	-0.184
R4231	-0.146	-0.415	-0.216
R4232	-0.134	-0.439	-0.124
R4233	-0.243	0.050	-0.149
R4241	-0.183	-0.380	-0.216
R4242	-0.155	-0.399	-0.127
R4243	-0.205	0.105	-0.170

